skills
python
java
c
c++
javascript
react
django
flask
html
css
mysql
postgresql
mongodb
git
github
docker
kubernetes
linux
rest api
machine learning
data analysis
numpy
pandas
cloud computing
aws
azure
communication
teamwork
problem solving
critical thinking
time management
adaptability
leadership
collaboration
decision making
attention to detail
work ethic
professionalism
